Date,Discharge
2019-08-10,8942.071
2019-08-11,8717.025
2019-08-12,8490.83
2019-08-13,8235.279
2019-08-14,7997.8213
2019-08-15,7723.0786
2019-08-16,7450.9326
2019-08-17,7156.938
2019-08-18,6874.252
2019-08-19,6610.4004
2019-08-20,6337.374
2019-08-21,6102.4995
2019-08-22,5849.962
2019-08-23,5618.902
2019-08-24,5383.838
2019-08-25,5176.6196
2019-08-26,5003.217
2019-08-27,4833.842
2019-08-28,4713.861
2019-08-29,4585.3477
2019-08-30,4485.221
2019-08-31,4385.7104
2019-09-01,4316.3486
2019-09-02,4280.8037
2019-09-03,4247.0454
2019-09-04,4258.2896
2019-09-05,4254.5957
2019-09-06,4271.035
2019-09-07,4278.187
2019-09-08,4304.1553
2019-09-09,4351.426
2019-09-10,4387.044
2019-09-11,4453.5723
2019-09-12,4490.692
2019-09-13,4533.369
2019-09-14,4552.349
2019-09-15,4576.1577
2019-09-16,4607.9453
2019-09-17,4615.643
2019-09-18,4642.9
2019-09-19,4630.6523
2019-09-20,4615.2666
2019-09-21,4568.9956
2019-09-22,4521.9546
2019-09-23,4478.9263
2019-09-24,4409.488
2019-09-25,4358.9146
2019-09-26,4269.7197
2019-09-27,4179.769
2019-09-28,4062.7104
2019-09-29,3949.9275
2019-09-30,3847.3267
2019-10-01,3725.446
2019-10-02,3630.3486
2019-10-03,3505.1528
2019-10-04,3388.1428
2019-10-05,3253.1997
2019-10-06,3131.7544
2019-10-07,3029.5845
2019-10-08,2916.932
2019-10-09,2839.4072
2019-10-10,2739.5378
2019-10-11,2654.8926
2019-10-12,2558.5327
2019-10-13,2480.985
2019-10-14,2427.0588
2019-10-15,2365.9827
2019-10-16,2342.3328
2019-10-17,2297.5981
2019-10-18,2268.3267
2019-10-19,2226.593
2019-10-20,2201.9905
2019-10-21,2198.4597
2019-10-22,2184.443
2019-10-23,2203.8213
2019-10-24,2197.488
2019-10-25,2201.5054
2019-10-26,2187.5752
2019-10-27,2185.0337
2019-10-28,2197.6824
2019-10-29,2193.9414
2019-10-30,2217.7817
2019-10-31,2210.2976
2019-11-01,2207.855
2019-11-02,2182.556
2019-11-03,2164.2239
2019-11-04,2157.226
2019-11-05,2130.6152
2019-11-06,2129.0525
2019-11-07,2094.3674
2019-11-08,2063.6929
2019-11-09,2009.9185
2019-11-10,1963.664
2019-11-11,1930.0891
2019-11-12,1879.0225
2019-11-13,1855.8724
2019-11-14,1803.1769
2019-11-15,1758.7272
2019-11-16,1696.011
2019-11-17,1646.1764
2019-11-18,1614.8333
2019-11-19,1572.1754
2019-11-20,1563.8849
2019-11-21,1532.6763
2019-11-22,1516.4175
2019-11-23,1488.57
2019-11-24,1480.1517
2019-11-25,1496.54
2019-11-26,1507.5948
2019-11-27,1558.5671
2019-11-28,1591.6487
2019-11-29,1644.0989
2019-11-30,1688.6943
2019-12-01,1755.7006
2019-12-02,1849.6854
2019-12-03,1939.6552
2019-12-04,2069.9758
2019-12-05,2181.9355
2019-12-06,2311.8867
2019-12-07,2431.7104
2019-12-08,2570.8005
2019-12-09,2732.895
2019-12-10,2886.2217
2019-12-11,3074.436
2019-12-12,3238.1938
2019-12-13,3413.304
2019-12-14,3571.2026
2019-12-15,3740.944
2019-12-16,3926.037
2019-12-17,4094.5945
2019-12-18,4290.272
2019-12-19,4453.8384
2019-12-20,4621.327
2019-12-21,4764.499
2019-12-22,4912.8345
2019-12-23,5070.349
2019-12-24,5205.7407
2019-12-25,5363.308
2019-12-26,5484.51
